  Frequency            , DB(V(U2:OUT))        
  1.000000000000e-002  ,3.999901796428e+001  
  1.258925411794e-002  ,3.999901796428e+001  
  1.584893192461e-002  ,3.999901796428e+001  
  1.995262314969e-002  ,3.999901796428e+001  
  2.511886431510e-002  ,3.999901796428e+001  
  3.162277660168e-002  ,3.999901796428e+001  
  3.981071705535e-002  ,3.999901796428e+001  
  5.011872336273e-002  ,3.999901796428e+001  
  6.309573444802e-002  ,3.999901796428e+001  
  7.943282347243e-002  ,3.999901796428e+001  
  1.000000000000e-001  ,3.999901796427e+001  
  1.258925411794e-001  ,3.999901796427e+001  
  1.584893192461e-001  ,3.999901796426e+001  
  1.995262314969e-001  ,3.999901796424e+001  
  2.511886431510e-001  ,3.999901796422e+001  
  3.162277660168e-001  ,3.999901796419e+001  
  3.981071705535e-001  ,3.999901796413e+001  
  5.011872336273e-001  ,3.999901796404e+001  
  6.309573444802e-001  ,3.999901796389e+001  
  7.943282347243e-001  ,3.999901796367e+001  
  1.000000000000e+000  ,3.999901796331e+001  
  1.258925411794e+000  ,3.999901796273e+001  
  1.584893192461e+000  ,3.999901796183e+001  
  1.995262314969e+000  ,3.999901796039e+001  
  2.511886431510e+000  ,3.999901795811e+001  
  3.162277660168e+000  ,3.999901795450e+001  
  3.981071705535e+000  ,3.999901794878e+001  
  5.011872336273e+000  ,3.999901793971e+001  
  6.309573444802e+000  ,3.999901792534e+001  
  7.943282347243e+000  ,3.999901790256e+001  
  1.000000000000e+001  ,3.999901786646e+001  
  1.258925411794e+001  ,3.999901780925e+001  
  1.584893192461e+001  ,3.999901771857e+001  
  1.995262314969e+001  ,3.999901757486e+001  
  2.511886431510e+001  ,3.999901734709e+001  
  3.162277660168e+001  ,3.999901698609e+001  
  3.981071705535e+001  ,3.999901641396e+001  
  5.011872336273e+001  ,3.999901550718e+001  
  6.309573444802e+001  ,3.999901407004e+001  
  7.943282347243e+001  ,3.999901179232e+001  
  1.000000000000e+002  ,3.999900818238e+001  
  1.258925411794e+002  ,3.999900246102e+001  
  1.584893192461e+002  ,3.999899339328e+001  
  1.995262314969e+002  ,3.999897902190e+001  
  2.511886431510e+002  ,3.999895624484e+001  
  3.162277660168e+002  ,3.999892014577e+001  
  3.981071705535e+002  ,3.999886293290e+001  
  5.011872336273e+002  ,3.999877225740e+001  
  6.309573444802e+002  ,3.999862854838e+001  
  7.943282347243e+002  ,3.999840078987e+001  
  1.000000000000e+003  ,3.999803982935e+001  
  1.258925411794e+003  ,3.999746777662e+001  
  1.584893192461e+003  ,3.999656121232e+001  
  1.995262314969e+003  ,3.999512460109e+001  
  2.511886431510e+003  ,3.999284821879e+001  
  3.162277660168e+003  ,3.998924163374e+001  
  3.981071705535e+003  ,3.998352868789e+001  
  5.011872336273e+003  ,3.997448207008e+001  
  6.309573444802e+003  ,3.996016367244e+001  
  7.943282347243e+003  ,3.993751940795e+001  
  1.000000000000e+004  ,3.990175270679e+001  
  1.258925411794e+004  ,3.984537007139e+001  
  1.584893192461e+004  ,3.975676176301e+001  
  1.995262314969e+004  ,3.961817429529e+001  
  2.511886431510e+004  ,3.940300794147e+001  
  3.162277660168e+004  ,3.907265132809e+001  
  3.981071705535e+004  ,3.857372072396e+001  
  5.011872336273e+004  ,3.783768190457e+001  
  6.309573444802e+004  ,3.678591187027e+001  
  7.943282347243e+004  ,3.534267951914e+001  
  1.000000000000e+005  ,3.345428048541e+001  
