  Frequency            , V(R2:1)              
  1.000000000000e-002  ,9.999999999430e-001  
  1.258925411794e-002  ,9.999999999097e-001  
  1.584893192461e-002  ,9.999999998568e-001  
  1.995262314969e-002  ,9.999999997731e-001  
  2.511886431510e-002  ,9.999999996404e-001  
  3.162277660168e-002  ,9.999999994301e-001  
  3.981071705535e-002  ,9.999999990967e-001  
  5.011872336273e-002  ,9.999999985684e-001  
  6.309573444802e-002  ,9.999999977311e-001  
  7.943282347243e-002  ,9.999999964041e-001  
  1.000000000000e-001  ,9.999999943008e-001  
  1.258925411794e-001  ,9.999999909674e-001  
  1.584893192461e-001  ,9.999999856843e-001  
  1.995262314969e-001  ,9.999999773111e-001  
  2.511886431510e-001  ,9.999999640406e-001  
  3.162277660168e-001  ,9.999999430082e-001  
  3.981071705535e-001  ,9.999999096740e-001  
  5.011872336273e-001  ,9.999998568429e-001  
  6.309573444802e-001  ,9.999997731113e-001  
  7.943282347243e-001  ,9.999996404056e-001  
  1.000000000000e+000  ,9.999994300811e-001  
  1.258925411794e+000  ,9.999990967388e-001  
  1.584893192461e+000  ,9.999985684261e-001  
  1.995262314969e+000  ,9.999977311048e-001  
  2.511886431510e+000  ,9.999964040347e-001  
  3.162277660168e+000  ,9.999943007571e-001  
  3.981071705535e+000  ,9.999909672536e-001  
  5.011872336273e+000  ,9.999856839232e-001  
  6.309573444802e+000  ,9.999773101993e-001  
  7.943282347243e+000  ,9.999640382154e-001  
  1.000000000000e+001  ,9.999430022170e-001  
  1.258925411794e+001  ,9.999096590871e-001  
  1.584893192461e+001  ,9.998568054497e-001  
  1.995262314969e+001  ,9.997730171348e-001  
  2.511886431510e+001  ,9.996401689901e-001  
  3.162277660168e+001  ,9.994294866915e-001  
  3.981071705535e+001  ,9.990952456698e-001  
  5.011872336273e+001  ,9.985646749498e-001  
  6.309573444802e+001  ,9.977216801253e-001  
  7.943282347243e+001  ,9.963803523545e-001  
  1.000000000000e+002  ,9.942412362123e-001  
  1.258925411794e+002  ,9.908176158006e-001  
  1.584893192461e+002  ,9.853075758424e-001  
  1.995262314969e+002  ,9.763632010139e-001  
  2.511886431510e+002  ,9.616543913848e-001  
  3.162277660168e+002  ,9.370043660084e-001  
  3.981071705535e+002  ,8.946240656327e-001  
  5.011872336273e+002  ,8.196593790770e-001  
  6.309573444802e+002  ,6.856603139562e-001  
  7.943282347243e+002  ,4.665729438178e-001  
  1.000000000000e+003  ,2.857142858910e-001  
  1.258925411794e+003  ,4.665601191916e-001  
  1.584893192461e+003  ,6.856514428654e-001  
  1.995262314969e+003  ,8.196543566177e-001  
  2.511886431510e+003  ,8.946212567943e-001  
  3.162277660168e+003  ,9.370027536489e-001  
  3.981071705535e+003  ,9.616534394424e-001  
  5.011872336273e+003  ,9.763626265057e-001  
  6.309573444802e+003  ,9.853072237294e-001  
  7.943282347243e+003  ,9.908173977504e-001  
  1.000000000000e+004  ,9.942411002670e-001  
  1.258925411794e+004  ,9.963802672285e-001  
  1.584893192461e+004  ,9.977216266728e-001  
  1.995262314969e+004  ,9.985646413263e-001  
  2.511886431510e+004  ,9.990952244956e-001  
  3.162277660168e+004  ,9.994294733478e-001  
  3.981071705535e+004  ,9.996401605773e-001  
  5.011872336273e+004  ,9.997730118292e-001  
  6.309573444802e+004  ,9.998568021031e-001  
  7.943282347243e+004  ,9.999096569760e-001  
  1.000000000000e+005  ,9.999430008851e-001  
  1.258925411794e+005  ,9.999640373751e-001  
  1.584893192461e+005  ,9.999773096692e-001  
  1.995262314969e+005  ,9.999856835887e-001  
  2.511886431510e+005  ,9.999909670425e-001  
  3.162277660168e+005  ,9.999943006239e-001  
  3.981071705535e+005  ,9.999964039507e-001  
  5.011872336273e+005  ,9.999977310518e-001  
  6.309573444802e+005  ,9.999985683926e-001  
  7.943282347243e+005  ,9.999990967177e-001  
  1.000000000000e+006  ,9.999994300677e-001  
